Model,≤0.5,≤0.3,≤1.0
GAT-LSTM,0.8803652968036529,0.6990867579908676,0.9844748858447488
LSTM-Only,0.5100456621004567,0.32374429223744294,0.8337899543378996
UCon-GAT-LSTM,0.4474885844748858,0.25205479452054796,0.7799086757990867
Fixed-Gate,0.40593607305936075,0.2410958904109589,0.7242009132420091
GAT-Only,0.18447488584474886,0.1232876712328767,0.3689497716894977
Reg-Seasonal,0.17168949771689498,0.10821917808219178,0.4474885844748858
Climatology,0.12968036529680366,0.0863013698630137,0.2602739726027397
